profile_id,platform,device_model,drm_system,security_level,max_resolution,max_hdcp,video_codecs,secure_decoder,hdr_formats,source,verified_at,notes
synth-01-01,Android TV,SYNTHETIC ANDROID TV PROFILE 1,Widevine,L1,2160p,2.2,AVC|HEVC Main10|VP9 Profile 2,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-01-02,Android TV,SYNTHETIC ANDROID TV PROFILE 2,Widevine,L1,2160p,2.2,AVC|HEVC Main10|VP9 Profile 2,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-01-03,Android TV,SYNTHETIC ANDROID TV PROFILE 3,Widevine,L1,2160p,2.2,AVC|HEVC Main10|VP9 Profile 2,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-01-04,Android TV,SYNTHETIC ANDROID TV PROFILE 4,Widevine,L1,2160p,2.2,AVC|HEVC Main10|VP9 Profile 2,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-01-05,Android TV,SYNTHETIC ANDROID TV PROFILE 5,Widevine,L1,2160p,2.2,AVC|HEVC Main10|VP9 Profile 2,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-02-01,Android TV,SYNTHETIC ANDROID TV PROFILE 1,Widevine,L3,720p,1.4,AVC,no,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-02-02,Android TV,SYNTHETIC ANDROID TV PROFILE 2,Widevine,L3,720p,1.4,AVC,no,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-02-03,Android TV,SYNTHETIC ANDROID TV PROFILE 3,Widevine,L3,720p,1.4,AVC,no,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-02-04,Android TV,SYNTHETIC ANDROID TV PROFILE 4,Widevine,L3,720p,1.4,AVC,no,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-02-05,Android TV,SYNTHETIC ANDROID TV PROFILE 5,Widevine,L3,720p,1.4,AVC,no,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-03-01,Desktop Chrome,SYNTHETIC DESKTOP CHROME PROFILE 1,Widevine,Unknown,1080p,Unknown,AVC|VP9|AV1,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-03-02,Desktop Chrome,SYNTHETIC DESKTOP CHROME PROFILE 2,Widevine,Unknown,1080p,Unknown,AVC|VP9|AV1,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-03-03,Desktop Chrome,SYNTHETIC DESKTOP CHROME PROFILE 3,Widevine,Unknown,1080p,Unknown,AVC|VP9|AV1,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-03-04,Desktop Chrome,SYNTHETIC DESKTOP CHROME PROFILE 4,Widevine,Unknown,1080p,Unknown,AVC|VP9|AV1,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-03-05,Desktop Chrome,SYNTHETIC DESKTOP CHROME PROFILE 5,Widevine,Unknown,1080p,Unknown,AVC|VP9|AV1,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-04-01,iOS/tvOS,SYNTHETIC IOS/TVOS PROFILE 1,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10|Dolby Vision,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-04-02,iOS/tvOS,SYNTHETIC IOS/TVOS PROFILE 2,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10|Dolby Vision,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-04-03,iOS/tvOS,SYNTHETIC IOS/TVOS PROFILE 3,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10|Dolby Vision,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-04-04,iOS/tvOS,SYNTHETIC IOS/TVOS PROFILE 4,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10|Dolby Vision,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-04-05,iOS/tvOS,SYNTHETIC IOS/TVOS PROFILE 5,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10|Dolby Vision,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-05-01,Safari macOS,SYNTHETIC SAFARI MACOS PROFILE 1,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-05-02,Safari macOS,SYNTHETIC SAFARI MACOS PROFILE 2,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-05-03,Safari macOS,SYNTHETIC SAFARI MACOS PROFILE 3,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-05-04,Safari macOS,SYNTHETIC SAFARI MACOS PROFILE 4,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-05-05,Safari macOS,SYNTHETIC SAFARI MACOS PROFILE 5,FairPlay,hardware,2160p,2.2,AVC|HEVC,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-06-01,Windows,SYNTHETIC WINDOWS PROFILE 1,PlayReady,SL3000,2160p,2.2,AVC|HEVC Main10,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-06-02,Windows,SYNTHETIC WINDOWS PROFILE 2,PlayReady,SL3000,2160p,2.2,AVC|HEVC Main10,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-06-03,Windows,SYNTHETIC WINDOWS PROFILE 3,PlayReady,SL3000,2160p,2.2,AVC|HEVC Main10,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-06-04,Windows,SYNTHETIC WINDOWS PROFILE 4,PlayReady,SL3000,2160p,2.2,AVC|HEVC Main10,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-06-05,Windows,SYNTHETIC WINDOWS PROFILE 5,PlayReady,SL3000,2160p,2.2,AVC|HEVC Main10,yes,HDR10,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-07-01,Windows,SYNTHETIC WINDOWS PROFILE 1,PlayReady,SL2000,1080p,1.4,AVC|HEVC,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
synth-07-02,Windows,SYNTHETIC WINDOWS PROFILE 2,PlayReady,SL2000,1080p,1.4,AVC|HEVC,unknown,none,synthetic,2026-08-16,Demonstration profile only; replace with measured lab data before production decisions
